"accountId","productId","interactionYearMonth","Actual_Segment","Potential_Segment","AP_9_segment_label","AP_priority_segment","accountUid"
2102,1016,202301,"low","low","low_low","E","0015f00000TdAVLAA3"
2206,1016,202301,"low","low","low_low","E","0015f00000TdDtKAAV"
2486,1016,202301,"low","low","low_low","E","0015f00000TdPzLAAV"
2607,1016,202301,"low","low","low_low","E","0015f00000TdUYmAAN"
2661,1016,202301,"low","low","low_low","E","0015f00000TdX18AAF"
2725,1016,202301,"low","low","low_low","E","0015f00000Tda98AAB"
2774,1016,202301,"low","low","low_low","E","0015f00000TddZOAAZ"
2781,1016,202301,"low","low","low_low","E","0015f00000TdeGkAAJ"
2841,1016,202301,"low","low","low_low","E","0015f00000TdhN2AAJ"
3913,1016,202301,"low","medium","low_medium","D","0015f00000UYN71AAH"
3960,1016,202301,"low","medium","low_medium","D","0015f00000UYWq9AAH"
4030,1016,202301,"low","medium","low_medium","D","0015f00000UYkIDAA1"
4088,1016,202301,"low","low","low_low","E","0015f00000UYtyMAAT"
4107,1016,202301,"low","low","low_low","E","0015f00000UYumDAAT"
4183,1016,202301,"low","low","low_low","E","0015f00000UYzg1AAD"
4194,1016,202301,"low","high","low_high","C","0015f00000UZ0EQAA1"
4343,1016,202301,"low","low","low_low","E","0015f00000UZ7aiAAD"
4443,1016,202301,"low","low","low_low","E","0015f00000UZCDFAA5"
4565,1016,202301,"low","low","low_low","E","0015f00000UZGrQAAX"
4789,1016,202301,"low","low","low_low","E","0015f00000UZMtzAAH"
4840,1016,202301,"low","low","low_low","E","0015f00000UZOJ6AAP"
4868,1016,202301,"low","low","low_low","E","0015f00000UZOmOAAX"
5080,1016,202301,"low","low","low_low","E","0015f00000UZU7gAAH"
5127,1016,202301,"low","low","low_low","E","0015f00000UZV51AAH"
5184,1016,202301,"low","low","low_low","E","0015f00000UZX13AAH"
5328,1016,202301,"low","low","low_low","E","0015f00000UZacXAAT"
5331,1016,202301,"low","low","low_low","E","0015f00000UZaipAAD"
5336,1016,202301,"low","low","low_low","E","0015f00000UZaq1AAD"
5378,1016,202301,"low","low","low_low","E","0015f00000UZcJFAA1"
5641,1016,202301,"low","medium","low_medium","D","0015f00000UZkn5AAD"
5845,1016,202301,"low","medium","low_medium","D","0015f00000Ua12fAAB"
5862,1016,202301,"medium","medium","medium_medium","C","0015f00000Ua5SyAAJ"
5868,1016,202301,"low","low","low_low","E","0015f00000Ua66cAAB"
5878,1016,202301,"low","medium","low_medium","D","0015f00000Ua75QAAR"
5918,1016,202301,"medium","medium","medium_medium","C","0015f00000UaD6qAAF"
5941,1016,202301,"low","medium","low_medium","D","0015f00000UaGEQAA3"
6028,1016,202301,"low","medium","low_medium","D","0015f00000UaTOEAA3"
6040,1016,202301,"low","medium","low_medium","D","0015f00000UaVDXAA3"
6046,1016,202301,"medium","low","medium_low","D","0015f00000UaWHIAA3"
6073,1016,202301,"low","medium","low_medium","D","0015f00000UaZtDAAV"
